Organisation,SctrCluster,SubSctr,Cntry,Region,Province,Municipality,Barangay,PlaceName,Activity,MtrlsSrcPrvd,PrmryBnfcry,Status,ProvinceCODE,PCODE,MncpltyCODE,MncpltyCODE,BarangayCODE,N.PrmyBnfcrs,StartDate,EndDate
UNHCR,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,TANAUAN,"San Roque, Sta Nino, Cabuynan, Bislig, Magay, Calloglog, Sta Cruz, Mohon, Canramos, San Miguel, Solano",No Data,tarpaulins - 1 per HH,No Data,No Data,Completed,83700000,837,83748000,No Data,No Data,1840,,15.11.13
WHH,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PILAR,No Data,No Data,construction materials,No Data,No Data,Ongoing,61900000,619,61911000,No Data,No Data,11500,,
WHH,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,BALETE,No Data,No Data,construction materials,No Data,No Data,Ongoing,60400000,604,60402000,No Data,No Data,11500,,
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,MA-AYON,"NFI Distribution, DRR Capacity-building",No Data,NFI,No Data,No Data,Ongoing,61900000,619,61907000,No Data,No Data,3450,15.11.13,07.02.14
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANITAN,"NFI Distribution, DRR Capacity-building",No Data,NFI,No Data,No Data,Ongoing,61900000,619,61910000,No Data,No Data,3450,15.11.13,07.02.14
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PONTEVEDRA,"NFI Distribution, DRR Capacity-building",No Data,NFI,No Data,No Data,Ongoing,61900000,619,61912000,No Data,No Data,3450,15.11.13,07.02.14
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PRESIDENT ROXAS,"NFI Distribution, DRR Capacity-building",No Data,NFI,No Data,No Data,Ongoing,61900000,619,61913000,No Data,No Data,3450,15.11.13,07.02.14
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CARLES,"NFI Distribution, DRR Capacity-building",No Data,NFI,No Data,No Data,Ongoing,63000000,630,63014000,No Data,No Data,4600,15.11.13,07.02.14
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CONCEPCION,"NFI Distribution, DRR Capacity-building",No Data,NFI,No Data,No Data,Ongoing,63000000,630,63015000,No Data,No Data,4600,15.11.13,07.02.14
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,"NFI Distribution, DRR Capacity-building",No Data,NFI,No Data,No Data,Ongoing,63000000,630,63019000,No Data,No Data,4600,15.11.13,07.02.14
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,DOLORES,"Shelter Kit Distribution, Technical Assistance, Capacity-building",No Data,tarpaulins - 1 per HH,No Data,No Data,Ongoing,82600000,826,82606000,No Data,No Data,5750,15.11.13,07.02.14
Christian Aid,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,DOLORES,"NFI Distribution, DRR Capacity-building",No Data,NFI,No Data,No Data,Ongoing,82600000,826,82606000,No Data,No Data,5175,15.11.13,07.02.14
